Part,Color,Quantity
44728,72,14
4733,70,1
51739,28,1
85984,15,13
41835,15,11
3701,0,2
11211,19,3
54200,36,21
92280,84,12
2389,14,2
49283,2,5
3623,0,3
99021,72,42
66909,28,4
3957b,15,12
42529,72,4
64179,71,28
89679,0,4
41677,14,8
32009,72,4
3040b,2,9
65487,14,16
64393,0,1
44861,71,13
3069bpr0148,15,1
27925,71,4
41770,15,5
3070b,71,10
11272,1103,2
85861,28,35
3004,28,2
6112,4,2
3032,2,2
3069b,4,25
99008,19,11
3040b,28,7
98138,226,122
13349,15,1
60601,47,1
99780,70,5
3023,71,11
86208,72,1
6060,15,2
13548,72,6
87079,4,5
54200,72,9
32525,15,28
36840,70,2
50950,191,2
11476,15,19
3034,15,4
2431,72,14
3710,70,91
3022,0,13
61485,71,1
32606,15,25
99009,71,4
92593,0,1
6629,15,7
15208,0,1
3068b,71,21
99010,0,4
6141,179,15
43857,14,2
60481,15,6
30504,70,1
3941,85,2
3958,85,1
54200,71,7
18944,15,4
3020,2,3
3020,191,2
2431,28,2
32498,0,7
25269,19,5
35646,84,4
48336,4,3
11090,72,12
3032,15,1
3062bpr0018,41,1
92690,70,1
98138,73,2
3023,27,2
11253,0,3
3830,72,3
3003,4,10
33183,70,10
20482,321,3
44865,4,4
3024,84,78
32140,0,6
11458,4,6
3068b,191,1
6141,4,80
3941,19,4
4287c,70,6
63864pr0012,28,2
973c23h01pr4288,84,1
98138,70,330
18654,72,48
60581,72,2
2456,0,4
54200,15,8
25269,158,21
15395,0,1
3020,288,10
3070b,19,3
64644,15,20
33183,191,45
3460,19,48
27925,0,8
98138,29,60
3023,272,18
15672,4,22
32449,14,2
87087,226,4
3795,19,3
4070a,15,13
15573,70,14
64951,70,1
11212,72,11
2420,28,1
3708,0,1
3021,72,4
6553,72,2
10202,71,4
43722,272,9
6112,19,16
60479,0,18
60477,15,6
25269,70,4
3701,72,4
20482,4,3
15068,72,4
87585,70,3
6255,2,1
32192,72,8
2465,15,10
60169,71,2
30165,15,1
3010,0,9
35480,15,20
4865b,2,1
3832,0,7
61184,71,12
87994,70,2
87580,322,1
30044,70,2
42003,0,4
65489,71,2
3941,72,102
89679pr0003,0,1
41239,72,29
5102c13,0,8
92950,72,2
1686,92,4
3024,33,2
23186,308,1
3795,70,24
25269,0,2
3941,3,2
64567,308,2
11213,84,1
91988,70,7
28192,25,2
32028,28,2
2420,70,14
4697b,0,12
40490,0,4
60471,4,1
26604,0,4
3038,72,4
32062,4,107
3702,0,2
3201,226,1
2639,72,16
3852b,322,1
1748,15,3
49097,92,4
32523,2,1
49307,15,36
48336,14,2
4032a,212,6
6111,15,8
3957b,484,2
15535,72,2
2476a,71,2
93273,272,3
95344,28,2
33909,70,9
69871,31,1
60470b,15,6
3065,41,60
2412b,72,8
3705,0,32
3031,191,1
75937,84,1
25269,2,4
30134,70,1
15712,70,9
3070bpr0278,31,3
30503,15,1
35787,15,6
87580,0,2
3623,19,6
88072,0,3
21229,15,2
3852b,191,1
65426,15,2
60581,47,14
89678,72,13
3894,71,2
2585,71,1
3031,0,11
26601,15,28
34103,71,13
41769,15,4
32526,14,2
3001,288,13
32062,0,26
3062b,288,1
6111,0,5
54200,25,3
3003,320,2
3024,72,2
27263,71,4
25269,191,5
98138,321,130
2465,70,8
61332,0,271
3039,2,3
3710,3,1
24307,272,5
15712,0,1
3069bpr0246,47,1
32014,72,2
3021,71,2
18651,0,52
2457,0,5
98138,15,764
